keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,duplicate_of,market,collides_with_live_slug,prior_run_duplicate,note
miss you,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"10,000+/mo",EST,2,,hard-differentiator-only,20,,head-en,new-page,,none,90,evergreen,year-round,,,,us/gb,,,head term shared with Rolling Stones / Oliver Tree / blink-182 song entities — split intent
i miss you,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"10,000+/mo",EST,2,,hard-differentiator-only,20,,head-en,merge-into-existing,https://subhsandesh.in/blog/i-really-miss-you-message,unmeasured-live-page,90,evergreen,year-round,,,,us/gb,i-really-miss-you-message,,blink-182 + Beyoncé song entities hold the SERP
missing you,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"10,000+/mo",EST,2,,hard-differentiator-only,20,,head-en,new-page,,none,90,evergreen,year-round,,,,us/gb,,,song + John Waite entity
miss you quotes,c01-head-en,https://www.google.com/search?q=miss%20you%20quotes,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational,blog listicle,"10,000+/mo",EST,4,,winnable-now,60,,head-en,new-page,,none,880,evergreen,year-round,,13,,us/gb,,miss you quotes,"rd.com, brainyquote, marriage.com; weak: pinterest, goodreads x2, ibme.utk.edu off-intent"
i miss you quotes,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"10,000+/mo",EST,4,,winnable-now,60,,head-en,merge-into-cluster-primary,https://subhsandesh.in/blog/i-really-miss-you-message,unmeasured-live-page,880,evergreen,year-round,,7,miss you quotes,us/gb,i-really-miss-you-message,miss you quotes,
missing you quotes,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"3,000-10,000/mo",EST,4,,winnable-now,48,,head-en,new-page,,none,286,evergreen,year-round,,,,us/gb,,missing you quotes,
i miss you message,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"3,000-10,000/mo",EST,4,,own-it-already,64,,head-en,improve-existing,https://subhsandesh.in/blog/i-miss-you-message,unmeasured-live-page,286,evergreen,year-round,,,,us/gb/in,i-miss-you-message,i miss you online message,live: /blog/i-miss-you-message
i miss you so much,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"3,000-10,000/mo",EST,3,,own-it-already,48,,head-en,improve-existing,https://subhsandesh.in/blog/i-miss-you-so-much-message,unmeasured-live-page,286,evergreen,year-round,,6,,us/gb,i-miss-you-so-much-message,,live: /blog/i-miss-you-so-much-message
miss you love you,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"1,000-3,000/mo",EST,1,,hard-differentiator-only,12,,head-en,merge-into-existing,https://subhsandesh.in/blog/miss-you-msg-for-love,unmeasured-live-page,9,evergreen,year-round,,10,,us/gb,miss-you-msg-for-love,,film entity — cast/review queries dominate
i miss you meaning,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,24,,head-en,merge-into-existing,https://subhsandesh.in/blog/i-really-miss-you-message,unmeasured-live-page,88,evergreen,year-round,,4,,us/gb,i-really-miss-you-message,,
how i miss you meaning,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,20,,head-en,merge-into-cluster-primary,https://subhsandesh.in/blog/i-really-miss-you-message,unmeasured-live-page,43,evergreen,year-round,,6,i miss you meaning,us/gb,i-really-miss-you-message,,"grammar/inversion query, forum-held"
miss you emoji meaning,c01-head-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,24,,head-en,new-page,,none,88,evergreen,year-round,,,,us/gb,,,
how to say i miss you without sounding desperate,c02-without-saying,https://www.google.com/search?q=how%20to%20say%20i%20miss%20you%20without%20sounding%20desperate,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,how-to guide,"1,000-3,000/mo",EST,5,,winnable-now,60,,without-saying,new-page,,none,132,evergreen,year-round,,,,us/gb,,,"weak: facebook, quora x2, wikipedia off-intent, substack comments"
i miss you without saying it,c02-without-saying,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"1,000-3,000/mo",EST,5,,winnable-now,60,,without-saying,new-page,,none,132,evergreen,year-round,,4,,us/gb,,,
how to say i miss you without actually saying it,c02-without-saying,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,without-saying,merge-into-cluster-primary,,none,43,evergreen,year-round,,,how to say i miss you without sounding desperate,us/gb,,,
ways to say i miss you without saying it,c02-without-saying,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,5,,winnable-now,40,,without-saying,merge-into-existing,https://subhsandesh.in/blog/cute-ways-to-say-i-miss-you-over-text,unmeasured-live-page,43,evergreen,year-round,,,,us/gb,cute-ways-to-say-i-miss-you-over-text,,
how to tell someone you miss them without being needy,c02-without-saying,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,without-saying,merge-into-existing,https://subhsandesh.in/blog/website-to-tell-someone-you-miss-them,unmeasured-live-page,43,evergreen,year-round,,,,us/gb,website-to-tell-someone-you-miss-them,how to tell someone you miss them,
subtle ways to say i miss you over text,c02-without-saying,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,without-saying,merge-into-existing,https://subhsandesh.in/blog/cute-ways-to-say-i-miss-you-over-text,unmeasured-live-page,29,evergreen,year-round,,,,us/gb,cute-ways-to-say-i-miss-you-over-text,,adjacent live page: cute-ways-to-say-i-miss-you-over-text — check before drafting
i miss you in spanish,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"10,000+/mo",EST,4,,winnable-now,60,,translate-en,new-page,,none,880,evergreen,year-round,,7,,us/gb,,,
i miss you in french,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"3,000-10,000/mo",EST,4,,winnable-now,48,,translate-en,new-page,,none,286,evergreen,year-round,,6,,us/gb,,,
i miss you in korean,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"3,000-10,000/mo",EST,4,,winnable-now,48,,translate-en,new-page,,none,286,evergreen,year-round,,8,,us/gb,,,
i miss you in italian,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"3,000-10,000/mo",EST,4,,winnable-now,48,,translate-en,new-page,,none,286,evergreen,year-round,,4,,us/gb,,,
i miss you in japanese,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"3,000-10,000/mo",EST,4,,winnable-now,48,,translate-en,new-page,,none,286,evergreen,year-round,,6,,us/gb,,,
i miss you in german,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"1,000-3,000/mo",EST,4,,winnable-now,36,,translate-en,new-page,,none,88,evergreen,year-round,,4,,us/gb,,,
i miss you in portuguese,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"1,000-3,000/mo",EST,4,,winnable-now,36,,translate-en,new-page,,none,88,evergreen,year-round,,2,,us/gb,,,
i miss you in arabic,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"1,000-3,000/mo",EST,4,,winnable-now,36,,translate-en,new-page,,none,88,evergreen,year-round,,2,,us/gb,,,
i miss you in russian,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"1,000-3,000/mo",EST,4,,winnable-now,36,,translate-en,new-page,,none,88,evergreen,year-round,,1,,us/gb,,,
i miss you in different languages,c03-translate-en,https://www.google.com/search?q=i%20miss%20you%20in%20different%20languages,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational,pillar hub,"3,000-10,000/mo",EST,5,,own-it-already,60,,translate-en,improve-existing,https://subhsandesh.in/blog/i-miss-you-in-different-languages,unmeasured-live-page,429,evergreen,year-round,,,,us/gb/in,i-miss-you-in-different-languages,,"live: /blog/i-miss-you-in-different-languages; weak: quora, medium, afar off-intent, imtranslator, indifferentlanguages; spoke under the live hub /blog/i-miss-you-in-different-languages — link both ways, do not restate its table"
i miss you too in spanish,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,translate-en,merge-into-cluster-primary,,none,88,evergreen,year-round,,4,i miss you in spanish,us,,,
i miss you so much in spanish,c03-translate-en,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,translate-en,merge-into-cluster-primary,,none,88,evergreen,year-round,,3,i miss you in spanish,us,,,
frases de te extraño,c04-es,https://www.google.com/search?q=frases%20de%20te%20extra%C3%B1o,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"3,000-10,000/mo",EST,4,,winnable-now,64,,es,new-page,,none,286,evergreen,year-round,,,,es/mx/us,,,"weak: norfipc, frasesconemocion, pensador, wikipedia off-intent"
te extraño mucho frases para el,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,es,new-page,,none,88,evergreen,year-round,,,,es/mx,,,
frases de te extraño para mi novia,c04-es,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,es,new-page,,none,88,evergreen,year-round,,,,es/mx,,,
