keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
love letter for girlfriend in hindi written in english,A-lang-letter,https://www.pinterest.com/ideas/love-letter-for-girlfriend-in-hindi-written-in-english/920901387906/,www.pinterest.com,serp-weakness,doing,blog post,"1,000-3,000/mo",EST,7,,winnable-now,75,https://www.pinterest.com/ideas/love-letter-for-girlfriend-in-hindi-written-in-english/920901387906/,love-letters,new page,none,none,132,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,12
how can i surprise my girlfriend online,C-online-surprise,https://www.quora.com/How-do-I-surprise-my-girl-in-a-long-distance-relationship,www.quora.com,serp-weakness,doing,blog post,"1,000-3,000/mo",EST,6,,winnable-now,75,https://www.quora.com/How-do-I-surprise-my-girl-in-a-long-distance-relationship,surprise-ideas,new page,none,none,132,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,17
surprise for girlfriend online,C-online-surprise,https://forums.anandtech.com/threads/how-to-surprise-your-girlfriend.969998/post-6377632,forums.anandtech.com,serp-pattern,doing,blog post,"1,000-3,000/mo",EST,6,,winnable-now,75,https://forums.anandtech.com/threads/how-to-surprise-your-girlfriend.969998/post-6377632,surprise-ideas,new page,none,none,132,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,12
digital gift ideas for girlfriend,D-digital-gift,https://www.etsy.com/market/digital_gift_for_girlfriend,www.etsy.com,serp-weakness,commercial,blog post,"1,000-3,000/mo",EST,6,,winnable-now,60,https://www.etsy.com/market/digital_gift_for_girlfriend,digital-gifts,new page,none,none,132,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,27
cute website for gf,B-love-website,https://github.com/topics/romantic-website,github.com,serp-weakness,doing,blog post,"1,000-3,000/mo",EST,3,,winnable-now,60,https://github.com/topics/romantic-website,love-website,new page,none,none,88,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,15
love website for girlfriend free,B-love-website,https://github.com/ritvikbhatia/LoveProject,github.com,serp-weakness,doing,blog post,"1,000-3,000/mo",EST,3,,winnable-now,60,https://github.com/ritvikbhatia/LoveProject,love-website,new page,none,none,88,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,9
love quiz questions for girlfriend,E-love-games,https://www.live-work.immigration.govt.nz/^85641285/fresignv/zimprovee/dattachs/questions+to+ask+your+girlfriend+about+love.pdf,www.live-work.immigration.govt.nz,serp-weakness,doing,blog post,"1,000-3,000/mo",EST,4,,winnable-now,60,https://www.live-work.immigration.govt.nz/^85641285/fresignv/zimprovee/dattachs/questions+to+ask+your+girlfriend+about+love.pdf,couple-games,new page,none,none,88,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,28
how much i love you messages for girlfriend,F-love-messages,https://www.pinterest.com/pin/making-her-cry-with-joy-100-touching-love-messages-for-her-to-make-her-cry--294493263152921066/,www.pinterest.com,serp-pattern,reading_bridge,blog post,"1,000-3,000/mo",EST,3,,winnable-now,36,https://www.pinterest.com/pin/making-her-cry-with-joy-100-touching-love-messages-for-her-to-make-her-cry--294493263152921066/,love-messages,new page,none,none,88,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,27
i love you message for her to make her cry,F-love-messages,https://ai.tenorshare.com/love-letter/love-quotes-to-make-her-cry.html,ai.tenorshare.com,serp-weakness,reading_bridge,blog post,"1,000-3,000/mo",EST,3,,winnable-now,36,https://ai.tenorshare.com/love-letter/love-quotes-to-make-her-cry.html,love-messages,new page,none,none,88,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,7
love song dedication for her,G-song-dedication,https://www.yahoo.com/lifestyle/61-greatest-love-songs-dedicate-020000483.html,www.yahoo.com,serp-weakness,reading_bridge,blog post,"1,000-3,000/mo",EST,3,,winnable-now,36,https://www.yahoo.com/lifestyle/61-greatest-love-songs-dedicate-020000483.html,music,new page,none,none,88,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,14
love letter for girlfriend in telugu,A-lang-letter,https://www.pinterest.com/ideas/love-letters-to-your-girlfriend-in-telugu/898820320648/,www.pinterest.com,serp-weakness,doing,blog post,"300-1,000/mo",EST,8,,winnable-now,50,https://www.pinterest.com/ideas/love-letters-to-your-girlfriend-in-telugu/898820320648/,love-letters,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,12
love letter for girlfriend in marathi,A-lang-letter,https://www.pinterest.com/ideas/love-letters-in-marathi/918680992976/,www.pinterest.com,serp-weakness,doing,blog post,"300-1,000/mo",EST,6,,winnable-now,50,https://www.pinterest.com/ideas/love-letters-in-marathi/918680992976/,love-letters,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,9
love letter for girlfriend in urdu,A-lang-letter,https://www.pinterest.com/ideas/love-letters-in-marathi/918680992976/,www.pinterest.com,serp-pattern,doing,blog post,"300-1,000/mo",EST,6,,winnable-now,50,https://www.pinterest.com/ideas/love-letters-in-marathi/918680992976/,love-letters,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,12
love letter for girlfriend in tamil,A-lang-letter,https://www.pinterest.com/ideas/love-letters-to-your-girlfriend-in-telugu/898820320648/,www.pinterest.com,serp-pattern,doing,blog post,"300-1,000/mo",EST,6,,winnable-now,50,https://www.pinterest.com/ideas/love-letters-to-your-girlfriend-in-telugu/898820320648/,love-letters,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,7
love letter for girlfriend in bengali,A-lang-letter,https://www.pinterest.com/ideas/love-letters-to-your-girlfriend-in-telugu/898820320648/,www.pinterest.com,serp-pattern,doing,blog post,"300-1,000/mo",EST,6,,winnable-now,50,https://www.pinterest.com/ideas/love-letters-to-your-girlfriend-in-telugu/898820320648/,love-letters,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,7
best digital gift for girlfriend,D-digital-gift,https://www.walmart.com/c/kp/thing-send-girlfriend,www.walmart.com,serp-pattern,commercial,blog post,"300-1,000/mo",EST,6,,winnable-now,40,https://www.walmart.com/c/kp/thing-send-girlfriend,digital-gifts,new page,none,none,43,"evergreen, peaks Valentine's + Aug 1 Girlfriend Day",1-14 Feb,2026-11-15,8
