keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,secondary_keywords,serp_note
karwa chauth gift for wife,occasion-gifts,https://winni.in/,winni.in,verified,doing,blog post,"1,000-3,000/mo EST",EST,4,,winnable-now,75,winni.in | devaastha.com | amazon.in | blog.bluestone.com | swashaa.com,occasion-gifts,new page,none,none,88,"seasonal, peak in the event window",2027-10-20 +/- 10 days,2027-07-28,1,karwa chauth gift for wife online | karwa chauth gift for wife india | karwa chauth gift for wife in gold | karwa chauth gift for wife ideas | karwa chauth gift for wife in silver | karwa chauth gift for wife same day delivery,1 weak + 3 vendor of 8; highest demand in the run
friendship day gift for best friend,occasion-gifts,https://fnp.com/,fnp.com,verified,doing,blog post,"1,000-3,000/mo EST",EST,4,,winnable-now,75,fnp.com | winni.in | igp.com | grabon.in | oyegifts.com,occasion-gifts,new page,none,none,88,"seasonal, peak in the event window",2027-08-01 +/- 10 days,2027-05-09,2,friendship day gift for best friend girl | friendship day gift for best friend easy | friendship day gift for best friend boy | friendship day gift ideas for best friend | friendship day gift for friend best friend | friendship day best gift for best friend,"0 weak + 4 vendor of 10 — fnp, winni, igp, oyegifts"
propose day gift for girlfriend,valentine-week,https://duckduckgo.com/,duckduckgo.com,verified,doing,blog post,"300-1,000/mo EST",EST,5,,winnable-now,50,duckduckgo.com | winni.in | fnp.com | igp.com | floweraura.com,valentine-week,new page,none,none,43,"seasonal, peak in the event window",2027-02-08 +/- 10 days,2026-12-14,3,,"5/10 weak — winni, fnp, igp, flipkart, amazon; zero editorial answers"
women's day flower bouquet,occasion-gifts,https://interflora.in/,interflora.in,verified,doing,blog post,"300-1,000/mo EST",EST,5,,winnable-now,50,interflora.in | igp.com | fnp.com | floweraura.com | winni.in,occasion-gifts,new page,none,none,43,"seasonal, peak in the event window",2027-03-08 +/- 10 days,2027-01-11,4,women's day flower delivery | why is there a women's day | what is the colour for women's day | women's day flowers | women's day flower symbol | women's day flowers wishes,"0 weak + 5 vendor of 10 — pure florist SERP, no editorial slot"
women's day flower delivery,occasion-gifts,,,serp-pattern,doing,blog post,"300-1,000/mo EST",EST,5,,winnable-now,50,,occasion-gifts,new page,none,none,43,"seasonal, peak in the event window",2027-03-08 +/- 10 days,2027-01-11,5,women's day flower delivery | why is there a women's day | what is the colour for women's day | women's day flowers | women's day flower symbol | women's day flowers wishes,delivery intent — our angle is that none is needed
rose day gift for girlfriend,valentine-week,https://duckduckgo.com/,duckduckgo.com,verified,doing,blog post,"300-1,000/mo EST",EST,4,,winnable-now,50,duckduckgo.com | flipkart.com | amazon.in | fnp.com | oyegifts.com,valentine-week,new page,none,none,29,"seasonal, peak in the event window",2027-02-07 +/- 10 days,2026-11-15,6,,"4/9 weak — flipkart, amazon, fnp, oyegifts; vendor-only"
what to do for friendship day,occasion-gifts,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,4,,winnable-now,50,,occasion-gifts,new page,none,none,29,"seasonal, peak in the event window",2027-08-01 +/- 10 days,2027-05-09,7,gifts for friends on friendship day,"activity intent, not gift — separate SERP"
flowers to propose a girl,occasion-gifts,,,serp-pattern,doing,blog post,"300-1,000/mo EST",EST,4,,winnable-now,50,,occasion-gifts,new page,none,none,29,"seasonal, peak in the event window",2027-02-08 +/- 10 days,2026-11-16,8,how to propose with flowers | how to propose a girl with rose,pattern off propose-day; product picks the blooms
gifts for friends on friendship day,occasion-gifts,,,serp-pattern,doing,blog post,"300-1,000/mo EST",EST,4,,winnable-now,50,,occasion-gifts,new page,none,none,29,"seasonal, peak in the event window",2027-08-01 +/- 10 days,2027-05-09,9,gifts for friends on friendship day,pattern off the friendship-day SERP
what is the colour for women's day,occasion-gifts,,,serp-pattern,knowing,blog post,"300-1,000/mo EST",EST,3,,winnable-now,50,,occasion-gifts,new page,none,none,29,"seasonal, peak in the event window",2027-03-08 +/- 10 days,2026-12-14,10,women's day flower delivery | why is there a women's day | what is the colour for women's day | women's day flowers | women's day flower symbol | women's day flowers wishes,purple/green — maps onto the Style tab
