keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
virtual gift for boyfriend,virtual-gift-partner,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post + template link,"1,000-3,000/mo EST",EST,8/8,,own-it-already,60,,digital-gifting,improve-existing,,,66,evergreen,year-round,evergreen,50
online surprise for boyfriend,surprise-link,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,8/8,,own-it-already,75,,digital-gifting,improve-existing,,,66,evergreen,year-round,evergreen,47
web page for boyfriend,love-website-builder,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,8/8,,own-it-already,75,,digital-gifting,improve-existing,,,66,evergreen,year-round,evergreen,24
digital love letter maker,digital-love-letter,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,9/9,,winnable,75,,digital-gifting,new-page,,,66,evergreen,year-round,evergreen,22
digital card for love,digital-card-partner,,eventkingdom.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"300-1,000/mo EST",EST,5/9,,winnable,50,eventkingdom.com | paperlesspost.com | greetingsisland.com,digital-gifting,new-page,,,43,evergreen,year-round,evergreen,17
digital sorry card for gf,apology-link,,greetingsisland.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,5/9,,own-it-already,25,greetingsisland.com | canva.com | sendwishonline.com,digital-gifting,improve-existing,https://subhsandesh.in/,9,9.9,evergreen,year-round,evergreen,3
virtual date with gf,virtual-date-night,,extension.usu.edu,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,6/8,,winnable,20,extension.usu.edu | brides.com,digital-gifting,new-page,,,5,evergreen,year-round,evergreen,12
propose day surprise link for girlfriend,propose-day-link,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,9/9,,winnable,25,,digital-gifting,new-page,,,5,evergreen,year-round,evergreen,4
digital birthday card for boyfriend,digital-birthday-card,,paperlesspost.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,2/9,,medium,15,paperlesspost.com | canva.com | bluemountain.com,digital-gifting,new-page,,,4.5,evergreen,year-round,evergreen,23
how to surprise your girlfriend on whatsapp,whatsapp-surprise,,wikihow.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,blog post,under 300/mo EST,EST,4/7,,winnable,12,wikihow.com | thoughtcatalog.com | hitched.co.uk,digital-gifting,new-page,,,2.1,evergreen,year-round,evergreen,4
qr code gift generator,qr-code-gift,,me-qr.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"300-1,000/mo EST",EST,2/8,,medium,10,me-qr.com | the-qrcode-generator.com | barcodesinc.com,digital-gifting,new-page,,,1.5,evergreen,year-round,evergreen,21
digital invitation card maker online free,digital-invitation,,canva.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,under 300/mo EST,EST,1/10,,medium,5,canva.com | greetingsisland.com | createcards.io,digital-gifting,new-page,,,0.67,evergreen,year-round,evergreen,7
surprise link for girlfriend,surprise-link,,,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,7/8,,own-it-already,75,,digital-gifting,cover-on-existing-page,https://subhsandesh.in/,6,,evergreen,year-round,evergreen,40
digital card for gf,digital-card-partner,,paperlesspost.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,4/9,,winnable,45,paperlesspost.com | greetingsisland.com | eventkingdom.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,37
digital card for boyfriend,digital-card-partner,,paperlesspost.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,4/8,,winnable,45,paperlesspost.com | eventkingdom.com | canva.com,digital-gifting,cover-on-head-page,,,,evergreen,year-round,evergreen,28
digital birthday card for girlfriend,digital-birthday-card,,greetingsisland.com,"live Google SERP, gl=in, measured 2026-09-04",doing — build and send a personalised page,template/tool page,"1,000-3,000/mo EST",EST,0/10,4 (zero weak results),do-not-attempt,0,greetingsisland.com | paperlesspost.com | canva.com,digital-gifting,skip,,,,evergreen,year-round,evergreen,22
